Planta; descripcion;CORRELATIVO;FACTURA FISICA;Descripción/Item;Proveedor/Vendor;Factura n°;Planta;Ubicación;Ubicación en Planta;Fecha de compra;Fecha Adj. Concesión;Fecha termino Concesion;Fecha comienzo op;Vida util s/ Concesion;Vida útil tributaria (meses);Valor de Origen
AB1307;Maquinaria y equipos;55;SI;ARRIENDO BODEGA FEBRERO;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;5;MELIPILLA;;;03-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;100000
AB1307;Maquinaria y equipos;55;SI;ARRIENDO BODEGA MARZO;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;5;MELIPILLA;;;03-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;100000
AB1307;Maquinaria y equipos;55;SI;RETIRO Y TRASLADO;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;5;MELIPILLA;;;03-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;100000
AB1307;Maquinaria y equipos;56;SI;ARRIENDO GRUA HORQUILLA;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;6;MELIPILLA;;;03-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;320000
AB1307;Edificios;57;SI;FLETE TERRESTRE;SPARBER TRANSPORT CHILE LIMITADA;3872;MELIPILLA;;;05-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;250000
AB1307;Edificios;57;SI;SERVICIOS DOCUMENTALES. SERVICIOS DOCUMENTALES;SPARBER TRANSPORT CHILE LIMITADA;3872;MELIPILLA;;;05-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;90000
AB1307;Edificios;59;SI;ANTICIPO 50%. TRABAJOS DE MODIFICACION ESTRUCTURAL PRTS;INGEMAB INGENIERIA Y CONSULTORIA SPA;505;MELIPILLA;;;07-04-2017;10-11-2015;10-11-2023;01-12-2018;78;60;463438
AB1307;Edificios;58;SI;EEPP INICIAL 40%. PROYECTO SANITARIO (INGENIERIA) MELIPILLA;CONSTRUCTORA KISA LIMITADA;2;MELIPILLA;;;10-04-2017;10-11-2015;10-11-2023;01-12-2018;78;120;400000
AB1307;Maquinaria y equipos;13;SI;IMPRESORA OKIDATA ML 321;ING. Y CONST. RICARDO RODRIGUEZ;1049012;MELIPILLA;OFICINAS;;25-05-2017;10-11-2015;10-11-2023;01-12-2018;78;36;356197
AB1307;Maquinaria y equipos;60;SI;ARRIENDO BODEGA ABRIL;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;7;MELIPILLA;;;22-06-2017;10-11-2015;10-11-2023;01-12-2018;78;60;80000
AB1307;Maquinaria y equipos;60;SI;ARRIENDO BODEGA MAYO;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;7;MELIPILLA;;;22-06-2017;10-11-2015;10-11-2023;01-12-2018;78;60;80000
AB1307;Maquinaria y equipos;60;SI;ARRIENDO BODEGA JUNIO;CONSTRUCCIONES DANIELA ALIAGA E.I.R.L;7;MELIPILLA;;;22-06-2017;10-11-2015;10-11-2023;01-12-2018;78;60;80000
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;428677
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
AB1307;Maquinaria y equipos;39;SI;CABEZAL DE OPACIDAD CAPELEC;PROGRESS FIVE;3840093109-4;MELIPILLA;;;03-07-2017;10-11-2015;10-11-2023;01-12-2018;78;60;421937
